만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
75,50,1,3,4,4.0,1.0,2.0,2,2023
70,14,1,3,4,4.0,1.0,2.0,3,2023
65,49,2,3,2,3.0,1.0,2.0,4,2023
65,20,4,3,4,2.0,4.0,2.0,2,2023
74,47,2,3,3,4.0,3.0,2.0,3,2023
68,50,3,3,3,3.0,4.0,1.0,3,2023
76,50,2,3,4,3.0,1.0,2.0,2,2023
70,16,2,4,2,4.0,2.0,2.0,3,2023
68,43,2,3,1,4.0,3.0,1.0,3,2023
68,9,1,3,4,3.0,2.0,2.0,3,2023
74,55,1,3,3,1.0,1.0,2.0,3,2023
72,35,2,3,2,2.0,1.0,2.0,4,2023
68,50,2,3,4,4.0,2.0,2.0,4,2023
65,30,1,3,4,4.0,2.0,2.0,3,2023
72,37,1,3,4,4.0,2.0,2.0,3,2023
84,20,2,3,3,4.0,2.0,2.0,3,2023
74,50,1,3,3,2.0,2.0,2.0,3,2023
70,40,1,3,3,3.0,5.0,2.0,3,2023
75,52,1,3,4,4.0,2.0,2.0,2,2023
72,3,2,3,3,2.0,4.0,2.0,2,2023
77,40,2,3,3,2.0,4.0,2.0,2,2023
76,30,3,3,3,3.0,5.0,1.0,3,2023
65,45,2,3,3,3.0,4.0,2.0,3,2023
74,35,3,2,3,3.0,3.0,2.0,3,2023
83,50,2,3,3,3.0,1.0,2.0,3,2023
72,50,1,3,3,2.0,3.0,2.0,2,2023
65,59,2,3,3,2.0,2.0,1.0,2,2023
72,40,2,3,4,1.0,1.0,2.0,3,2023
84,40,3,3,2,2.0,1.0,2.0,3,2023
70,30,3,3,3,3.0,2.0,1.0,3,2023
71,30,2,3,3,2.0,1.0,2.0,3,2023
72,10,2,4,3,3.0,4.0,1.0,3,2023
67,41,1,3,3,3.0,4.0,2.0,3,2023
69,1,3,4,3,3.0,1.0,2.0,3,2023
78,15,2,3,2,3.0,2.0,2.0,2,2023
71,40,3,3,2,3.0,1.0,2.0,5,2023
79,8,3,1,1,3.0,1.0,2.0,3,2023
83,56,1,3,2,1.0,2.0,2.0,1,2023
68,20,2,3,4,3.0,1.0,2.0,3,2023
79,47,1,3,2,3.0,2.0,2.0,3,2023
70,20,2,3,2,3.0,1.0,2.0,5,2023
76,30,1,3,2,2.0,2.0,2.0,3,2023
72,40,2,3,2,4.0,2.0,2.0,3,2023
66,34,1,1,4,3.0,3.0,2.0,3,2023
70,40,3,3,3,2.0,2.0,2.0,1,2023
85,27,2,3,2,4.0,1.0,2.0,3,2023
