만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,거주지만족도,월평균가구소득,부채유무,삶의만족도,year
78,78.0,1.0,1,3,2.5,1.0,2.0,3,2017
65,6.0,2.0,3,2,2.5,2.0,1.0,2,2017
66,15.0,1.0,3,4,1.5,1.0,2.0,1,2017
65,11.0,4.0,3,2,3.5,1.0,2.0,5,2017
70,30.0,2.0,3,3,3.0,1.0,2.0,3,2017
66,23.0,2.0,3,3,2.5,1.0,2.0,3,2017
90,6.0,2.0,3,2,5.0,1.0,2.0,5,2017
72,10.0,4.0,4,2,4.5,1.0,1.0,5,2017
65,16.0,3.0,4,3,3.0,3.0,2.0,3,2017
67,18.0,5.0,4,2,3.5,6.0,1.0,3,2017
74,20.0,2.0,3,3,3.0,1.0,2.0,4,2017
67,35.0,1.0,3,3,2.0,2.0,2.0,4,2017
76,40.0,1.0,3,3,1.5,1.0,2.0,2,2017
80,50.0,1.0,3,3,2.5,1.0,2.0,5,2017
78,50.0,1.0,3,3,3.5,2.0,2.0,2,2017
66,35.0,1.0,3,3,2.0,1.0,2.0,4,2017
66,40.0,1.0,3,4,1.0,2.0,2.0,1,2017
68,50.0,1.0,3,3,2.0,2.0,2.0,3,2017
74,48.0,2.0,3,3,2.0,1.0,2.0,2,2017
83,65.0,2.0,3,3,1.5,1.0,1.0,4,2017
74,40.0,1.0,3,3,2.5,3.0,2.0,3,2017
67,15.0,4.0,3,2,4.0,1.0,1.0,3,2017
76,30.0,1.0,3,3,1.5,2.0,2.0,3,2017
68,20.0,3.0,3,3,2.0,5.0,2.0,2,2017
68,40.0,2.0,3,4,1.0,3.0,2.0,3,2017
71,33.0,1.0,3,3,2.5,5.0,2.0,2,2017
83,35.0,1.0,3,4,1.0,2.0,2.0,1,2017
76,50.0,1.0,3,4,2.0,1.0,2.0,3,2017
84,30.0,1.0,3,4,2.5,1.0,2.0,3,2017
67,37.0,1.0,3,3,2.0,2.0,2.0,2,2017
78,25.0,1.0,3,2,2.5,1.0,2.0,4,2017
76,40.0,2.0,3,3,2.5,1.0,2.0,3,2017
76,44.0,3.0,3,3,4.0,1.0,2.0,2,2017
81,12.0,1.0,3,2,3.5,1.0,2.0,3,2017
74,30.0,1.0,3,3,3.5,1.0,1.0,2,2017
71,20.0,2.0,3,3,3.0,1.0,2.0,4,2017
78,32.0,1.0,3,3,4.0,1.0,2.0,4,2017
73,40.0,2.0,3,3,2.5,1.0,2.0,4,2017
87,10.0,2.0,3,3,2.0,1.0,2.0,3,2017
75,32.0,1.0,3,3,2.5,1.0,2.0,2,2017
85,50.0,1.0,3,4,2.0,1.0,2.0,4,2017
67,53.0,1.0,3,3,3.0,1.0,2.0,3,2017
68,40.0,4.0,3,4,2.0,1.0,2.0,3,2017
73,20.0,2.0,3,3,4.0,1.0,2.0,4,2017
66,40.0,2.0,3,3,1.0,2.0,2.0,3,2017
78,30.0,2.0,3,3,2.5,1.0,2.0,3,2017
72,30.0,1.0,3,4,3.5,1.0,2.0,3,2017
70,39.0,1.0,1,4,2.5,2.0,2.0,1,2017
84,15.0,2.0,3,3,3.0,1.0,2.0,4,2017
78,10.0,1.0,3,4,2.0,1.0,2.0,3,2017
73,7.0,2.0,4,2,4.0,1.0,2.0,4,2017
78,11.0,2.0,2,3,2.0,1.0,2.0,5,2017
68,25.0,1.0,3,4,1.5,2.0,2.0,2,2017
76,42.0,2.0,3,4,2.5,1.0,2.0,4,2017
66,4.0,1.0,4,3,3.0,1.0,2.0,4,2017
67,40.0,5.0,3,3,2.0,2.0,2.0,2,2017
84,30.0,1.0,3,4,1.5,1.0,2.0,3,2017
73,30.0,2.0,3,3,3.5,1.0,2.0,3,2017
80,40.0,4.0,3,3,2.0,1.0,2.0,3,2017
67,20.0,2.0,3,2,4.0,1.0,2.0,4,2017
71,25.0,1.0,3,4,1.5,1.0,2.0,3,2017
69,17.0,1.0,3,3,3.0,2.0,1.0,3,2017
66,13.0,1.0,3,3,2.5,1.0,2.0,4,2017
66,46.0,1.0,3,2,3.5,1.0,1.0,4,2017
74,40.0,1.0,3,3,1.5,1.0,2.0,4,2017
66,48.0,1.0,3,3,2.5,2.0,2.0,2,2017
