,계,남,여
계,"919,747","455,137","464,610"
0~4세,"24,989","12,659","12,330"
0 세,"4,284","2,182","2,102"
1 세,"4,900","2,539","2,361"
2 세,"5,042","2,542","2,500"
3 세,"5,088","2,565","2,523"
4 세,"5,675","2,831","2,844"
5~9세,"35,037","17,828","17,209"
5 세,"5,932","3,007","2,925"
6 세,"6,412","3,319","3,093"
7 세,"7,042","3,579","3,463"
8 세,"7,923","4,025","3,898"
9 세,"7,728","3,898","3,830"
10~14세,"41,456","21,275","20,181"
10 세,"7,887","4,053","3,834"
11 세,"8,535","4,448","4,087"
12 세,"8,395","4,330","4,065"
13 세,"8,648","4,370","4,278"
14 세,"7,991","4,074","3,917"
15~19세,"41,897","21,324","20,573"
15 세,"8,378","4,238","4,140"
16 세,"8,883","4,516","4,367"
17 세,"8,094","4,129","3,965"
18 세,"7,775","3,931","3,844"
19 세,"8,767","4,510","4,257"
20~24세,"50,006","25,306","24,700"
20 세,"8,839","4,518","4,321"
21 세,"8,630","4,407","4,223"
22 세,"9,699","4,903","4,796"
23 세,"11,503","5,835","5,668"
24 세,"11,335","5,643","5,692"
25~29세,"66,578","34,425","32,153"
25 세,"12,128","6,201","5,927"
26 세,"12,903","6,518","6,385"
27 세,"13,373","6,897","6,476"
28 세,"13,988","7,331","6,657"
29 세,"14,186","7,478","6,708"
30~34세,"69,863","36,329","33,534"
30 세,"14,323","7,605","6,718"
31 세,"14,743","7,678","7,065"
32 세,"14,451","7,437","7,014"
33 세,"13,162","6,901","6,261"
34 세,"13,184","6,708","6,476"
35~39세,"64,282","32,559","31,723"
35 세,"12,932","6,686","6,246"
36 세,"12,760","6,388","6,372"
37 세,"12,563","6,384","6,179"
38 세,"13,051","6,564","6,487"
39 세,"12,976","6,537","6,439"
40~44세,"75,853","37,678","38,175"
40 세,"14,211","7,118","7,093"
41 세,"15,265","7,739","7,526"
42 세,"15,539","7,687","7,852"
43 세,"15,400","7,599","7,801"
44 세,"15,438","7,535","7,903"
45~49세,"71,519","35,380","36,139"
45 세,"13,109","6,513","6,596"
46 세,"14,395","7,037","7,358"
47 세,"14,177","7,085","7,092"
48 세,"14,398","7,115","7,283"
49 세,"15,440","7,630","7,810"
50~54세,"82,802","41,227","41,575"
50 세,"16,174","7,794","8,380"
51 세,"16,292","8,103","8,189"
52 세,"17,281","8,694","8,587"
53 세,"16,760","8,555","8,205"
54 세,"16,295","8,081","8,214"
55~59세,"71,995","35,780","36,215"
55 세,"15,698","7,752","7,946"
56 세,"14,716","7,182","7,534"
57 세,"13,366","6,969","6,397"
58 세,"14,213","6,955","7,258"
59 세,"14,002","6,922","7,080"
60~64세,"70,615","34,499","36,116"
60 세,"13,386","6,673","6,713"
61 세,"14,116","6,955","7,161"
62 세,"14,814","7,106","7,708"
63 세,"14,772","7,206","7,566"
64 세,"13,527","6,559","6,968"
65~69세,"56,278","27,565","28,713"
65 세,"12,577","6,259","6,318"
66 세,"12,342","6,140","6,202"
67 세,"10,920","5,318","5,602"
68 세,"11,067","5,306","5,761"
69 세,"9,372","4,542","4,830"
70~74세,"35,456","16,596","18,860"
70 세,"8,081","3,789","4,292"
71 세,"8,702","4,159","4,543"
72 세,"5,743","2,654","3,089"
73 세,"6,424","3,033","3,391"
74 세,"6,506","2,961","3,545"
75~79세,"26,883","11,890","14,993"
75 세,"6,400","2,901","3,499"
76 세,"6,476","2,893","3,583"
77 세,"5,124","2,229","2,895"
78 세,"4,494","1,972","2,522"
79 세,"4,389","1,895","2,494"
80~84세,"19,273","8,040","11,233"
80 세,"4,257","1,798","2,459"
81 세,"4,764","2,060","2,704"
82 세,"3,897","1,664","2,233"
83 세,"3,249","1,316","1,933"
84 세,"3,106","1,202","1,904"
85~89세,"10,224","3,575","6,649"
85 세,"2,676","1,015","1,661"
86 세,"2,336",831,"1,505"
87 세,"2,015",704,"1,311"
88 세,"1,721",573,"1,148"
89 세,"1,476",452,"1,024"
90~94세,"3,764",982,"2,782"
90 세,"1,097",301,796
91 세,941,254,687
92 세,713,189,524
93 세,557,123,434
94 세,456,115,341
95~99세,838,185,653
95 세,308,72,236
96 세,239,50,189
97 세,127,29,98
98 세,105,21,84
99 세,59,13,46
100세이상,139,35,104
