,계,남,여
계,"967,510","479,225","488,285"
0~4세,"38,106","19,488","18,618"
0 세,"6,746","3,512","3,234"
1 세,"7,410","3,774","3,636"
2 세,"8,058","4,139","3,919"
3 세,"7,893","4,000","3,893"
4 세,"7,999","4,063","3,936"
5~9세,"42,167","21,725","20,442"
5 세,"8,508","4,473","4,035"
6 세,"8,486","4,397","4,089"
7 세,"8,621","4,401","4,220"
8 세,"8,090","4,122","3,968"
9 세,"8,462","4,332","4,130"
10~14세,"44,142","22,759","21,383"
10 세,"9,078","4,670","4,408"
11 세,"8,355","4,287","4,068"
12 세,"8,100","4,151","3,949"
13 세,"9,195","4,754","4,441"
14 세,"9,414","4,897","4,517"
15~19세,"55,597","28,624","26,973"
15 세,"9,239","4,773","4,466"
16 세,"10,532","5,448","5,084"
17 세,"12,217","6,284","5,933"
18 세,"11,648","5,948","5,700"
19 세,"11,961","6,171","5,790"
20~24세,"65,787","33,710","32,077"
20 세,"12,448","6,406","6,042"
21 세,"12,626","6,444","6,182"
22 세,"13,097","6,758","6,339"
23 세,"13,637","6,955","6,682"
24 세,"13,979","7,147","6,832"
25~29세,"70,603","35,834","34,769"
25 세,"14,775","7,546","7,229"
26 세,"14,813","7,456","7,357"
27 세,"13,531","6,914","6,617"
28 세,"13,821","6,961","6,860"
29 세,"13,663","6,957","6,706"
30~34세,"70,279","35,400","34,879"
30 세,"13,410","6,690","6,720"
31 세,"13,344","6,757","6,587"
32 세,"14,133","7,096","7,037"
33 세,"13,922","6,995","6,927"
34 세,"15,470","7,862","7,608"
35~39세,"79,951","39,985","39,966"
35 세,"16,442","8,339","8,103"
36 세,"16,718","8,349","8,369"
37 세,"16,485","8,259","8,226"
38 세,"16,371","8,070","8,301"
39 세,"13,935","6,968","6,967"
40~44세,"79,630","39,153","40,477"
40 세,"15,240","7,470","7,770"
41 세,"14,966","7,484","7,482"
42 세,"15,309","7,565","7,744"
43 세,"16,511","8,211","8,300"
44 세,"17,604","8,423","9,181"
45~49세,"91,461","45,680","45,781"
45 세,"17,878","8,883","8,995"
46 세,"19,039","9,515","9,524"
47 세,"18,726","9,520","9,206"
48 세,"18,159","8,990","9,169"
49 세,"17,659","8,772","8,887"
50~54세,"78,223","39,319","38,904"
50 세,"16,464","8,047","8,417"
51 세,"15,034","7,833","7,201"
52 세,"15,935","7,935","8,000"
53 세,"15,779","7,913","7,866"
54 세,"15,011","7,591","7,420"
55~59세,"78,254","38,859","39,395"
55 세,"15,853","7,963","7,890"
56 세,"16,563","8,047","8,516"
57 세,"16,625","8,232","8,393"
58 세,"15,161","7,497","7,664"
59 세,"14,052","7,120","6,932"
60~64세,"57,784","28,489","29,295"
60 세,"13,692","6,929","6,763"
61 세,"12,160","5,976","6,184"
62 세,"12,462","6,057","6,405"
63 세,"10,496","5,179","5,317"
64 세,"8,974","4,348","4,626"
65~69세,"38,405","18,450","19,955"
65 세,"9,690","4,754","4,936"
66 세,"6,538","3,131","3,407"
67 세,"7,329","3,543","3,786"
68 세,"7,444","3,526","3,918"
69 세,"7,404","3,496","3,908"
70~74세,"29,297","13,350","15,947"
70 세,"7,523","3,494","4,029"
71 세,"5,996","2,711","3,285"
72 세,"5,294","2,410","2,884"
73 세,"5,318","2,426","2,892"
74 세,"5,166","2,309","2,857"
75~79세,"23,384","10,315","13,069"
75 세,"6,156","2,820","3,336"
76 세,"4,966","2,290","2,676"
77 세,"4,263","1,816","2,447"
78 세,"4,205","1,762","2,443"
79 세,"3,794","1,627","2,167"
80~84세,"13,818","5,133","8,685"
80 세,"3,389","1,353","2,036"
81 세,"3,082","1,235","1,847"
82 세,"2,877","1,057","1,820"
83 세,"2,498",838,"1,660"
84 세,"1,972",650,"1,322"
85~89세,"6,943","2,059","4,884"
85 세,"1,823",580,"1,243"
86 세,"1,490",443,"1,047"
87 세,"1,366",383,983
88 세,"1,263",387,876
89 세,"1,001",266,735
90~94세,"2,562",611,"1,951"
90 세,805,199,606
91 세,559,144,415
92 세,476,81,395
93 세,375,94,281
94 세,347,93,254
95~99세,719,187,532
95 세,280,70,210
96 세,161,41,120
97 세,139,35,104
98 세,84,28,56
99 세,55,13,42
100세이상,398,95,303
