,계,남,여
계,"913,009","451,408","461,601"
0~4세,"23,989","12,280","11,709"
0 세,"4,527","2,362","2,165"
1 세,"4,433","2,249","2,184"
2 세,"4,847","2,524","2,323"
3 세,"5,054","2,555","2,499"
4 세,"5,128","2,590","2,538"
5~9세,"33,006","16,765","16,241"
5 세,"5,679","2,815","2,864"
6 세,"5,953","3,012","2,941"
7 세,"6,386","3,311","3,075"
8 세,"7,069","3,592","3,477"
9 세,"7,919","4,035","3,884"
10~14세,"41,035","21,003","20,032"
10 세,"7,725","3,884","3,841"
11 세,"7,885","4,056","3,829"
12 세,"8,508","4,442","4,066"
13 세,"8,339","4,302","4,037"
14 세,"8,578","4,319","4,259"
15~19세,"40,658","20,630","20,028"
15 세,"7,897","4,002","3,895"
16 세,"8,299","4,203","4,096"
17 세,"8,791","4,479","4,312"
18 세,"7,972","4,056","3,916"
19 세,"7,699","3,890","3,809"
20~24세,"47,304","23,906","23,398"
20 세,"8,604","4,385","4,219"
21 세,"8,782","4,488","4,294"
22 세,"8,603","4,416","4,187"
23 세,"9,708","4,808","4,900"
24 세,"11,607","5,809","5,798"
25~29세,"64,588","33,236","31,352"
25 세,"11,523","5,788","5,735"
26 세,"12,390","6,354","6,036"
27 세,"13,125","6,712","6,413"
28 세,"13,574","7,044","6,530"
29 세,"13,976","7,338","6,638"
30~34세,"70,633","36,947","33,686"
30 세,"14,216","7,472","6,744"
31 세,"14,316","7,590","6,726"
32 세,"14,682","7,684","6,998"
33 세,"14,282","7,299","6,983"
34 세,"13,137","6,902","6,235"
35~39세,"63,907","32,296","31,611"
35 세,"13,048","6,611","6,437"
36 세,"12,822","6,615","6,207"
37 세,"12,554","6,241","6,313"
38 세,"12,520","6,333","6,187"
39 세,"12,963","6,496","6,467"
40~44세,"72,929","36,419","36,510"
40 세,"12,942","6,523","6,419"
41 세,"14,163","7,060","7,103"
42 세,"15,067","7,603","7,464"
43 세,"15,512","7,690","7,822"
44 세,"15,245","7,543","7,702"
45~49세,"70,626","34,876","35,750"
45 세,"15,337","7,470","7,867"
46 세,"13,026","6,451","6,575"
47 세,"14,168","6,934","7,234"
48 세,"13,968","7,005","6,963"
49 세,"14,127","7,016","7,111"
50~54세,"80,356","39,952","40,404"
50 세,"15,158","7,503","7,655"
51 세,"15,863","7,626","8,237"
52 세,"15,939","7,921","8,018"
53 세,"16,890","8,487","8,403"
54 세,"16,506","8,415","8,091"
55~59세,"72,857","36,155","36,702"
55 세,"15,914","7,860","8,054"
56 세,"15,393","7,603","7,790"
57 세,"14,438","7,058","7,380"
58 세,"13,108","6,800","6,308"
59 세,"14,004","6,834","7,170"
60~64세,"69,822","34,152","35,670"
60 세,"13,757","6,811","6,946"
61 세,"13,136","6,529","6,607"
62 세,"13,861","6,805","7,056"
63 세,"14,549","6,960","7,589"
64 세,"14,519","7,047","7,472"
65~69세,"59,491","29,005","30,486"
65 세,"13,305","6,468","6,837"
66 세,"12,368","6,120","6,248"
67 세,"12,179","6,027","6,152"
68 세,"10,706","5,191","5,515"
69 세,"10,933","5,199","5,734"
70~74세,"37,668","17,739","19,929"
70 세,"9,212","4,435","4,777"
71 세,"7,945","3,696","4,249"
72 세,"8,549","4,055","4,494"
73 세,"5,653","2,599","3,054"
74 세,"6,309","2,954","3,355"
75~79세,"28,321","12,559","15,762"
75 세,"6,371","2,890","3,481"
76 세,"6,263","2,822","3,441"
77 세,"6,330","2,791","3,539"
78 세,"4,976","2,152","2,824"
79 세,"4,381","1,904","2,477"
80~84세,"19,733","8,280","11,453"
80 세,"4,289","1,836","2,453"
81 세,"4,102","1,700","2,402"
82 세,"4,583","1,970","2,613"
83 세,"3,676","1,558","2,118"
84 세,"3,083","1,216","1,867"
85~89세,"10,906","3,875","7,031"
85 세,"2,909","1,105","1,804"
86 세,"2,473",915,"1,558"
87 세,"2,166",751,"1,415"
88 세,"1,824",616,"1,208"
89 세,"1,534",488,"1,046"
90~94세,"4,073","1,082","2,991"
90 세,"1,284",384,900
91 세,945,255,690
92 세,802,207,595
93 세,590,144,446
94 세,452,92,360
95~99세,977,214,763
95 세,384,94,290
96 세,238,56,182
97 세,183,32,151
98 세,97,19,78
99 세,75,13,62
100세이상,130,37,93
