만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공원이용만족도,year
65,5,3,4,3,5,3,3.0,2.0,5,3.0,2.0,2023
71,16,1,3,1,7,3,2.0,2.0,5,3.2,1.0,2023
69,3,1,3,1,10,1,7.0,2.0,10,2.2,1.0,2023
65,30,2,3,2,6,3,4.0,1.0,6,2.8,2.0,2023
66,38,1,3,2,7,5,5.0,2.0,3,3.8,1.0,2023
78,50,1,3,1,8,2,4.0,2.0,9,2.4,1.0,2023
76,24,3,3,2,5,1,5.0,2.0,5,3.0,1.0,2023
73,70,1,3,1,10,1,1.0,2.0,10,2.6,1.0,2023
85,25,2,3,2,4,3,3.0,2.0,5,2.6,3.0,2023
68,30,1,3,2,8,2,5.0,1.0,9,3.0,2.0,2023
69,33,2,3,2,5,1,1.0,2.0,5,2.0,1.0,2023
68,38,3,3,3,4,3,3.0,2.0,5,3.0,3.0,2023
80,20,1,3,2,6,2,2.0,2.0,5,2.6,2.0,2023
67,40,2,3,1,9,3,3.0,2.0,8,3.0,3.0,2023
85,39,2,3,3,7,3,1.0,2.0,7,2.6,1.0,2023
78,57,2,3,2,7,3,1.0,2.0,7,2.8,3.0,2023
71,30,2,3,2,5,3,5.0,2.0,5,2.6,3.0,2023
76,40,2,3,3,8,3,2.0,1.0,10,2.8,2.0,2023
68,30,1,3,2,5,2,3.0,2.0,7,3.0,1.0,2023
70,7,2,3,2,5,3,2.0,2.0,5,2.6,2.0,2023
74,21,2,3,2,7,2,1.0,2.0,5,2.6,1.0,2023
71,10,2,3,2,4,2,2.0,2.0,3,3.4,3.0,2023
70,70,2,2,2,4,3,3.0,2.0,5,2.8,3.0,2023
71,30,1,3,1,5,5,1.0,1.0,3,3.0,1.0,2023
77,43,2,3,2,5,2,6.0,2.0,6,2.8,3.0,2023
84,2,3,4,3,5,2,1.0,2.0,5,3.0,1.0,2023
65,10,4,3,3,5,3,2.0,1.0,5,3.0,1.0,2023
83,50,2,3,1,5,1,1.0,2.0,3,2.6,3.0,2023
84,50,2,3,1,5,3,1.0,1.0,3,3.0,1.0,2023
75,30,1,3,1,6,1,1.0,2.0,6,2.6,3.0,2023
65,50,2,3,2,6,4,2.0,2.0,6,2.8,1.0,2023
72,50,2,3,2,6,3,5.0,2.0,6,3.0,1.0,2023
82,3,2,3,2,5,2,2.0,1.0,5,3.0,2.0,2023
85,30,1,3,1,3,1,2.0,2.0,3,3.0,2.0,2023
81,35,2,3,2,6,3,1.0,2.0,6,2.8,3.0,2023
72,40,2,3,2,6,4,2.0,2.0,6,4.0,3.0,2023
66,50,2,3,3,5,4,1.0,2.0,4,2.8,3.0,2023
65,13,2,3,2,5,3,8.0,2.0,5,2.6,2.0,2023
65,12,1,3,2,8,3,3.0,1.0,8,2.8,1.0,2023
77,30,2,3,3,7,3,1.0,1.0,7,2.6,3.0,2023
72,25,2,3,2,7,3,2.0,2.0,7,2.8,1.0,2023
65,65,1,1,2,9,2,1.0,1.0,7,2.6,1.0,2023
70,45,2,3,2,8,2,4.0,1.0,8,2.8,2.0,2023
75,75,1,1,1,5,2,1.0,2.0,5,3.2,2.0,2023
65,40,2,3,2,6,3,1.0,2.0,6,3.4,1.0,2023
67,17,2,3,2,6,1,4.0,1.0,6,3.4,2.0,2023
65,50,1,3,1,7,3,1.0,2.0,7,2.8,1.0,2023
82,82,1,1,2,5,1,1.0,2.0,8,2.6,1.0,2023
80,49,1,3,2,7,2,1.0,2.0,7,3.0,1.0,2023
77,30,3,2,2,6,2,1.0,2.0,6,2.8,1.0,2023
77,10,3,4,2,6,3,2.0,2.0,6,2.8,1.0,2023
72,37,1,3,2,5,3,2.0,2.0,7,2.6,1.0,2023
83,30,1,4,1,7,1,1.0,2.0,7,2.6,1.0,2023
71,25,1,4,1,7,5,2.0,2.0,7,2.6,1.0,2023
76,30,1,3,2,6,5,1.0,2.0,6,3.0,1.0,2023
69,56,4,3,2,6,4,2.0,2.0,6,3.0,2.0,2023
72,18,1,4,2,5,4,2.0,1.0,7,3.0,1.0,2023
70,50,2,1,2,3,3,2.0,1.0,4,2.8,2.0,2023
70,21,1,3,1,4,1,5.0,2.0,5,2.8,2.0,2023
73,20,2,3,1,5,1,2.0,2.0,7,2.2,3.0,2023
82,5,2,4,3,5,2,1.0,2.0,5,3.0,1.0,2023
73,46,1,3,2,5,3,1.0,2.0,5,2.2,2.0,2023
83,30,2,3,2,5,1,2.0,2.0,5,3.0,1.0,2023
78,60,2,3,2,8,2,2.0,2.0,8,2.6,2.0,2023
70,10,2,3,1,4,3,4.0,2.0,5,2.6,3.0,2023
81,40,1,3,2,5,2,5.0,1.0,5,2.8,1.0,2023
67,25,3,3,2,5,3,2.0,2.0,5,3.0,3.0,2023
81,46,1,3,1,7,2,5.0,2.0,8,2.8,2.0,2023
75,23,2,3,2,6,1,8.0,2.0,4,3.0,3.0,2023
76,10,1,3,2,5,1,2.0,2.0,5,3.0,2.0,2023
85,3,2,4,3,7,1,3.0,2.0,8,2.6,3.0,2023
69,23,2,3,2,9,2,4.0,2.0,8,2.0,1.0,2023
85,48,1,3,1,8,1,5.0,2.0,8,2.4,1.0,2023
69,34,2,3,2,5,3,6.0,1.0,5,3.0,1.0,2023
72,49,2,3,3,8,1,2.0,2.0,7,2.8,2.0,2023
