만나이,지역거주기간,향후거주의향,정주의식,거주지소속감,지역생활만족도,주거만족도,월평균가구소득,부채유무,삶의만족도,대중교통만족도,공공편의시설만족도,의료시설만족도,year
73,34.0,1.0,3,4,1,2,3.0,2.0,3,3.0,2.0,2.0,2017
80,11.0,1.0,3,4,5,3,2.0,2.0,3,2.0,1.0,1.5,2017
76,47.0,1.0,3,4,3,3,2.0,2.0,3,2.5,1.0,2.0,2017
66,30.0,5.0,3,2,2,2,6.0,1.0,3,2.25,2.0,2.0,2017
77,23.0,1.0,3,3,4,3,1.0,2.0,2,3.25,4.0,2.0,2017
83,20.0,5.0,3,4,2,2,2.0,2.0,2,2.0,1.0,2.0,2017
77,5.0,1.0,3,3,3,3,1.0,2.0,3,2.5,1.0,1.0,2017
69,50.0,1.0,1,3,1,2,2.0,2.0,2,2.0,1.0,1.5,2017
79,50.0,1.0,3,3,1,2,2.0,2.0,2,2.0,1.0,3.0,2017
65,20.0,5.0,3,3,2,2,2.0,2.0,3,1.75,2.0,2.0,2017
67,20.0,1.0,3,4,2,2,2.0,2.0,3,3.25,1.0,3.0,2017
67,15.0,1.0,3,3,3,3,2.0,1.0,3,3.0,3.0,3.0,2017
75,70.0,1.0,1,4,2,4,2.0,2.0,3,2.25,2.0,5.0,2017
74,7.0,1.0,3,3,2,1,3.0,2.0,2,2.5,1.0,1.0,2017
77,33.0,5.0,3,4,2,3,3.0,2.0,2,2.75,1.0,3.0,2017
71,40.0,1.0,3,2,2,2,5.0,2.0,3,3.5,3.0,4.0,2017
72,70.0,1.0,1,4,3,2,5.0,2.0,2,3.25,3.0,3.0,2017
67,10.0,4.0,3,4,1,1,3.0,2.0,1,2.0,1.0,1.0,2017
72,17.0,1.0,3,3,3,3,2.0,2.0,3,3.0,3.0,3.0,2017
81,16.0,1.0,3,3,2,1,2.0,2.0,3,2.75,3.0,1.0,2017
82,2.0,1.0,3,3,2,2,1.0,2.0,2,2.75,1.0,3.0,2017
73,1.0,1.0,4,2,3,2,1.0,2.0,3,3.0,1.0,1.0,2017
88,10.0,5.0,1,4,2,2,1.0,2.0,3,2.5,3.0,2.0,2017
72,1.0,1.0,4,2,2,2,2.0,1.0,2,2.5,2.0,2.0,2017
80,9.0,1.0,3,3,3,3,1.0,2.0,2,2.5,1.0,2.5,2017
82,23.0,1.0,3,3,2,2,1.0,2.0,2,2.25,1.0,3.0,2017
69,69.0,1.0,1,4,3,3,1.0,2.0,4,2.0,2.0,1.0,2017
70,35.0,1.0,3,4,2,2,1.0,2.0,3,2.25,1.0,1.5,2017
72,37.0,1.0,3,4,3,3,1.0,2.0,3,3.0,3.0,2.0,2017
